"","word1","word2","word3"
"270","i","like","the"
"271","is","that","the"
"272","it","has","been"
"273","love","love","love"
"274","make","me","feel"
"275","realli","want","to"
"276","so","we","can"
"277","sound","like","a"
"278","that","i","had"
"279","the","unit","state"
"280","there","will","be"
"281","to","make","it"
"282","to","think","about"
"283","want","me","to"
"284","was","abl","to"
"285","what","to","do"
"286","a","way","to"
"287","but","i","was"
"288","go","to","have"
"289","hang","out","with"
"290","i","got","a"
"291","i","like","to"
"292","i","love","my"
"293","i","was","think"
"294","in","new","york"
"295","in","the","last"
"296","is","such","a"
"297","it","go","to"
"298","it","look","like"
"299","of","all","the"
"300","on","my","way"
"301","shout","out","to"
"302","suppos","to","be"
"303","thank","you","so"
"304","the","top","of"
"305","this","is","what"
"306","to","all","of"
"307","to","do","a"
"308","to","make","sure"
"309","up","on","the"
"310","want","to","make"
"311","went","to","the"
"312","you","are","a"
"313","a","great","weekend"
"314","and","of","cours"
"315","at","the","moment"
"316","but","i","am"
"317","check","it","out"
"318","i","can","get"
"319","i","dont","want"
"320","i","get","a"
"321","i","need","a"
"322","i","think","im"
"323","i","thought","it"
"324","i","was","in"
"325","like","to","be"
"326","listen","to","the"
"327","out","of","my"
"328","rt","if","you"
"329","so","much","fun"
"330","that","i","was"
"331","that","it","was"
"332","the","back","of"
"333","the","stori","of"
"334","this","was","a"
"335","thought","it","was"
"336","to","all","the"
"337","to","check","out"
"338","to","see","if"
"339","top","of","the"
"340","up","to","the"
"341","who","want","to"
"342","would","be","a"
"343","a","fan","of"
"344","a","few","year"
"345","all","the","way"
"346","and","i","think"
"347","and","it","is"
"348","be","on","the"
"349","come","to","the"
"350","come","up","with"
"351","day","of","the"
"352","did","you","know"
"353","for","all","of"
"354","for","some","reason"
"355","get","readi","for"
"356","give","me","a"
"357","i","did","not"
"358","i","hate","when"
"359","i","was","just"
"360","i","would","like"
"361","im","not","sure"
"362","in","the","end"
"363","in","the","futur"
"364","the","amount","of"
"365","the","begin","of"
"366","to","be","abl"
"367","to","get","out"
"368","to","tell","you"
"369","we","are","not"
"370","will","be","in"
"371","all","over","the"
"372","and","i","love"
"373","and","i","will"
"374","at","some","point"
"375","bit","of","a"
"376","can","i","get"
"377","everi","time","i"
"378","happi","new","year"
"379","have","been","a"
"380","have","to","do"
"381","hope","you","have"
"382","i","get","to"
"383","is","the","most"
"384","it","a","good"
"385","mani","of","the"
"386","part","of","a"
"387","take","care","of"
"388","talk","about","the"
"389","that","you","are"
"390","the","idea","of"
"391","time","to","get"
"392","to","deal","with"
"393","to","get","back"
"394","were","go","to"
"395","will","be","the"
"396","a","few","day"
"397","a","littl","more"
"398","are","the","best"
"399","as","a","result"
"400","do","the","same"
"401","dont","know","what"
"402","feel","like","a"
"403","front","of","the"
"404","happi","mother","day"
"405","i","have","the"
"406","i","was","go"
"407","know","if","you"
"408","one","of","our"
"409","out","on","the"
"410","so","much","more"
"411","the","bottom","of"
"412","the","thing","that"
"413","the","way","i"
"414","there","is","noth"
"415","to","do","this"
"416","to","find","a"
"417","to","meet","you"
"418","up","with","a"
"419","was","a","littl"
"420","was","one","of"
"421","we","had","a"
"422","when","you","have"
"423","will","not","be"
"424","a","few","minut"
"425","a","great","time"
"426","all","of","you"
"427","and","i","are"
"428","and","that","is"
"429","dont","forget","to"
"430","have","a","lot"
"431","have","to","get"
"432","i","can","see"
"433","i","think","you"
"434","i","was","abl"
"435","in","the","next"
"436","is","not","the"
"437","is","the","onli"
"438","is","what","i"
"439","it","to","the"
"440","lot","of","fun"
"441","more","than","a"
"442","much","of","the"
"443","of","the","season"
"444","so","mani","peopl"
"445","that","is","the"
"446","that","you","can"
"447","the","one","that"
"448","the","onli","thing"
"449","the","use","of"
"450","to","get","it"
"451","to","get","some"
"452","to","see","a"
"453","to","see","how"
"454","to","work","with"
"455","turn","out","to"
"456","was","in","the"
"457","we","want","to"
"458","what","a","great"
"459","what","the","hell"
"460","wish","i","had"
"461","with","all","the"
"462","your","go","to"
"463","all","of","our"
"464","and","then","i"
"465","as","it","is"
"466","away","from","the"
"467","back","in","the"
"468","do","you","want"
"469","for","him","to"
"470","for","the","last"
"471","go","to","see"
"472","had","to","be"
"473","happi","birthday","to"
"474","have","to","say"
"475","hope","to","see"
"476","i","got","the"
"477","i","got","to"
"478","i","havent","been"
"479","i","love","this"
"480","if","it","is"
"481","if","you","can"
"482","if","you","do"
"483","in","my","head"
"484","in","the","face"
"485","in","the","hous"
"486","it","could","be"
"487","it","on","the"
"488","learn","how","to"
"489","me","and","i"
"490","need","to","do"
"491","no","matter","how"
"492","of","cours","the"
"493","of","the","time"
"494","on","the","phone"
"495","or","at","least"
"496","out","in","the"
"497","out","to","the"
"498","spread","the","word"
"499","thank","for","your"
"500","thank","you","to"
"501","that","i","could"
"502","that","was","a"
"503","the","next","day"
"504","the","other","day"
"505","the","way","to"
"506","to","figur","out"
"507","to","me","and"
"508","to","watch","the"
"509","to","work","on"
"510","use","to","be"
"511","what","i","want"
"512","what","kind","of"
"513","where","are","you"
"514","wish","i","was"
"515","you","can","get"
"516","you","know","the"
"517","a","list","of"
"518","a","piec","of"
"519","all","of","this"
"520","and","have","a"
"521","by","the","time"
"522","deal","with","the"
"523","didnt","want","to"
"524","get","readi","to"
"525","go","to","sleep"
"526","have","to","go"
"527","he","was","a"
"528","i","am","in"
"529","i","can","tell"
"530","i","cant","believ"
"531","i","could","be"
"532","i","end","up"
"533","i","realli","want"
"534","i","will","have"
"535","if","i","can"
"536","if","you","were"
"537","in","the","back"
"538","in","the","s"
"539","it","make","me"
"540","littl","bit","of"
"541","live","in","the"
"542","me","and","my"
"543","need","to","know"
"544","no","matter","what"
"545","of","the","way"
"546","out","to","be"
"547","talk","to","you"
"548","tell","you","that"
"549","that","he","was"
"550","that","i","can"
"551","that","we","are"
"552","the","best","thing"
"553","the","name","of"
"554","there","was","no"
"555","to","do","the"
"556","to","find","out"
"557","to","get","my"
"558","to","look","at"
"559","to","one","of"
"560","to","tri","to"
"561","tri","to","be"
"562","tri","to","do"
"563","tri","to","make"
"564","was","tri","to"
"565","when","he","was"
"566","will","be","back"
"567","will","have","a"
"568","would","be","the"
"569","you","know","that"
"570","a","ton","of"
"571","all","of","us"
"572","and","get","a"
"573","and","i","cant"
"574","and","i","dont"
"575","and","if","you"
"576","as","i","was"
"577","as","part","of"
"578","becaus","it","is"
"579","but","i","cant"
"580","by","the","end"
"581","by","the","way"
"582","day","in","the"
"583","dont","have","a"
"584","feel","like","i"
"585","follow","me","back"
"586","for","the","rest"
"587","go","to","get"
"588","have","a","few"
"589","have","you","ever"
"590","i","can","do"
"591","i","have","never"
"592","i","just","dont"
"593","i","know","im"
"594","i","love","how"
"595","i","was","at"
"596","in","my","opinion"
"597","in","term","of"
"598","in","the","way"
"599","in","your","life"
"600","is","on","the"
"601","is","tri","to"
"602","it","been","a"
"603","it","turn","out"
"604","it","was","not"
"605","know","what","to"
"606","live","in","a"
"607","love","you","so"
"608","make","sure","you"
"609","member","of","the"
"610","my","way","to"
"611","not","sure","what"
"612","now","i","am"
"613","of","the","book"
"614","of","the","new"
"615","of","the","night"
"616","on","the","floor"
"617","on","the","ground"
"618","pay","attent","to"
"619","seem","to","have"
"620","so","excit","to"
"621","that","i","will"
"622","that","is","a"
"623","that","they","are"
"624","that","will","be"
"625","the","best","of"
"626","the","other","hand"
"627","the","other","side"
"628","the","power","of"
"629","think","about","it"
"630","this","is","not"
"631","to","be","an"
"632","to","do","so"
"633","to","hang","out"
"634","to","take","the"
"635","tri","to","find"
"636","up","with","the"
"637","was","a","good"
"638","way","to","get"
"639","we","have","to"
"640","what","happen","to"
"641","when","it","was"
"642","will","alway","be"
"643","will","be","on"
"644","you","can","do"
"645","you","can","find"
"646","a","few","week"
"647","a","man","who"
"648","a","number","of"
"649","a","pictur","of"
"650","a","sens","of"
"651","a","varieti","of"
"652","and","a","half"
"653","and","i","can"
"654","and","there","are"
"655","and","this","is"
"656","and","we","are"
"657","are","look","for"
"658","are","you","do"
"659","be","a","great"
"660","be","at","the"
"661","chanc","to","win"
"662","come","back","to"
"663","dont","know","how"
"664","due","to","the"
"665","fall","in","love"
"666","figur","out","what"
"667","for","the","day"
"668","give","you","a"
"669","had","no","idea"
"670","have","no","idea"
"671","have","to","admit"
"672","hope","you","are"
"673","i","didnt","know"
"674","i","do","have"
"675","i","dont","care"
"676","i","go","to"
"677","i","had","no"
"678","i","live","in"
"679","i","should","be"
"680","i","use","the"
"681","i","was","so"
"682","if","i","could"
"683","if","you","havent"
"684","if","you","need"
"685","in","the","dark"
"686","in","the","new"
"687","is","like","a"
"688","is","the","first"
"689","it","is","to"
"690","it","not","a"
"691","it","should","be"
"692","it","was","great"
"693","make","it","to"
"694","me","know","if"
"695","middl","of","the"
"696","not","sure","how"
"697","of","cours","i"
"698","of","the","countri"
"699","of","the","week"
"700","on","my","mind"
"701","on","the","back"
"702","one","of","his"
"703","should","be","a"
"704","some","of","these"
"705","that","there","is"
"706","that","we","have"
"707","that","you","have"
"708","the","last","few"
"709","the","last","time"
"710","the","next","few"
"711","the","number","of"
"712","the","peopl","who"
"713","the","point","of"
"714","the","time","to"
"715","there","are","a"
"716","there","are","no"
"717","they","need","to"
"718","they","want","to"
"719","thing","to","do"
"720","to","be","at"
"721","to","buy","a"
"722","to","do","that"
"723","to","get","in"
"724","to","have","you"
"725","to","pick","up"
"726","want","it","to"
"727","was","the","first"
"728","we","love","you"
"729","what","i","was"
"730","work","in","the"
"731","you","and","i"
"732","you","do","not"
"733","you","have","the"
"734","you","know","how"
"735","you","know","you"
"736","a","hard","time"
"737","all","of","my"
"738","and","in","the"
"739","and","they","are"
"740","and","tri","to"
"741","are","you","go"
"742","around","the","world"
"743","as","i","can"
"744","as","one","of"
"745","be","a","part"
"746","but","i","do"
"747","but","i","just"
"748","for","the","ff"
"749","for","the","love"
"750","friend","and","famili"
"751","get","to","the"
"752","have","to","have"
"753","here","is","the"
"754","i","guess","i"
"755","i","had","the"
"756","i","like","it"
"757","i","look","at"
"758","i","look","forward"
"759","i","love","that"
"760","i","wonder","if"
"761","i’m","go","to"
"762","if","i","had"
"763","if","i","was"
"764","if","they","are"
"765","im","pretti","sure"
"766","in","a","row"
"767","in","need","of"
"768","is","also","a"
"769","is","so","much"
"770","is","that","i"
"771","is","to","be"
"772","it","can","be"
"773","it","hard","to"
"774","it","may","be"
"775","it","seem","like"
"776","it","time","to"
"777","last","night","i"
"778","like","to","see"
"779","may","have","been"
"780","me","in","the"
"781","me","want","to"
"782","need","to","go"
"783","not","to","be"
"784","not","want","to"
"785","of","the","hous"
"786","of","the","lord"
"787","onli","a","few"
"788","out","of","a"
"789","over","the","year"
"790","readi","to","go"
"791","rest","of","my"
"792","see","you","in"
"793","so","much","i"
"794","so","much","to"
"795","so","you","can"
"796","some","of","us"
"797","such","as","the"
"798","thank","to","all"
"799","that","what","i"
"800","the","age","of"
"801","the","day","i"
"802","the","one","who"
"803","think","it","was"
"804","to","be","on"
"805","to","follow","me"
"806","to","go","back"
"807","to","have","to"
"808","to","know","what"
"809","to","listen","to"
"810","to","see","that"
"811","way","to","go"
"812","we","all","know"
"813","we","will","have"
"814","what","is","the"
"815","what","you","want"
"816","where","you","can"
"817","work","on","the"
"818","you","get","a"
"819","you","have","no"
"820","you","like","it"
"821","you","need","a"
"822","a","copi","of"
"823","a","few","month"
"824","a","good","idea"
"825","a","lot","more"
"826","a","result","of"
"827","all","is","well"
"828","and","i","had"
"829","and","i","just"
"830","and","i","want"
"831","and","readi","to"
"832","and","the","other"
"833","and","there","is"
"834","as","you","can"
"835","at","the","top"
"836","be","the","best"
"837","be","the","first"
"838","becaus","they","are"
"839","but","i","love"
"840","can","be","a"
"841","depend","on","the"
"842","don’t","want","to"
"843","end","up","with"
"844","even","though","i"
"845","feel","free","to"
"846","follow","me","on"
"847","for","a","littl"
"848","for","a","new"
"849","for","them","to"
"850","for","those","of"
"851","forward","to","see"
"852","get","to","know"
"853","give","it","a"
"854","give","me","the"
"855","happen","to","me"
"856","he","is","the"
"857","hit","me","up"
"858","how","can","i"
"859","i","am","sure"
"860","i","am","the"
"861","i","hope","to"
"862","i","know","the"
"863","i","love","your"
"864","i","realiz","that"
"865","i","should","have"
"866","i","still","have"
"867","i","think","we"
"868","i","want","a"
"869","i","wish","you"
"870","if","you","would"
"871","im","about","to"
"872","im","in","love"
"873","in","a","week"
"874","in","the","countri"
"875","in","the","uk"
"876","in","this","world"
"877","is","a","littl"
"878","is","there","a"
"879","it","doe","not"
"880","it","is","so"
"881","it","might","be"
"882","it","was","just"
"883","just","go","to"
"884","just","tri","to"
"885","keep","up","with"
"886","know","that","the"
"887","know","what","i"
"888","like","i","was"
"889","lot","of","peopl"
"890","make","sure","to"
"891","mani","of","you"
"892","more","of","a"
"893","my","best","friend"
"894","my","life","i"
"895","new","york","citi"
"896","not","sure","if"
"897","not","to","mention"
"898","of","cours","it"
"899","of","the","game"
"900","of","the","stori"
"901","of","you","who"
"902","on","how","to"
"903","over","and","over"
"904","over","to","the"
"905","particip","in","the"
"906","peopl","in","the"
"907","peopl","who","are"
"908","pick","up","a"
"909","pictur","of","the"
"910","seem","like","a"
"911","sign","up","for"
"912","such","a","great"
"913","talk","to","me"
"914","that","he","had"
"915","that","kind","of"
"916","that","make","me"
"917","that","this","is"
"918","the","abil","to"
"919","the","benefit","of"
"920","the","first","thing"
"921","the","kind","of"
"922","the","love","of"
"923","the","time","i"
"924","the","time","of"
"925","the","univers","of"
"926","the","way","they"
"927","the","world","and"
"928","they","have","a"
"929","think","it","is"
"930","this","is","my"
"931","to","add","to"
"932","to","come","back"
"933","to","get","your"
"934","to","go","with"
"935","to","see","it"
"936","to","talk","about"
"937","to","the","point"
"938","tri","to","keep"
"939","vega","vega","vega"
"940","welcom","to","the"
"941","what","is","your"
"942","what","you","have"
"943","what","you","think"
"944","when","i","saw"
"945","when","you","get"
"946","whether","or","not"
"947","whi","are","you"
"948","whi","do","i"
"949","with","a","littl"
"950","would","be","so"
"951","you","and","your"
"952","you","are","go"
"953","you","for","your"
"954","you","get","to"
"955","you","have","ani"
"956","a","few","hour"
"957","a","few","more"
"958","a","group","of"
"959","a","lot","to"
"960","abl","to","get"
"961","all","sort","of"
"962","along","with","the"
"963","and","is","a"
"964","and","it","will"
"965","and","that","the"
"966","and","want","to"
"967","and","when","i"
"968","and","you","will"
"969","as","well","and"
"970","ask","me","to"
"971","at","one","point"
"972","back","to","work"
"973","be","back","in"
"974","be","the","most"
"975","been","abl","to"
"976","but","i","will"
"977","but","you","can"
"978","check","out","our"
"979","could","be","a"
"980","do","not","have"
"981","down","to","the"
"982","each","of","the"
"983","excit","to","be"
"984","first","time","in"
"985","follow","me","i"
"986","follow","me","pleas"
"987","for","a","great"
"988","for","follow","me"
"989","for","those","who"
"990","forward","to","the"
"991","go","to","go"
"992","go","to","tri"
"993","gonna","be","a"
"994","great","to","see"
"995","happen","in","the"
"996","happen","to","be"
"997","has","alway","been"
"998","have","a","littl"
"999","have","you","been"
"1000","he","is","a"
"1001","he","want","to"
"1002","head","to","the"
"1003","here","is","a"
"1004","how","much","i"
"1005","i","could","do"
"1006","i","could","have"
"1007","i","dont","get"
"1008","i","found","out"
"1009","i","have","an"
"1010","i","see","a"
"1011","i","think","this"
"1012","i","thought","about"
"1013","i","was","look"
"1014","i","will","not"
"1015","im","tri","to"
"1016","in","a","larg"
"1017","in","addit","to"
"1018","in","all","the"
"1019","in","case","you"
"1020","in","the","air"
"1021","in","the","area"
"1022","in","the","citi"
"1023","in","the","day"
"1024","in","the","process"
"1025","in","the","room"
"1026","is","part","of"
"1027","is","that","a"
"1028","it","in","a"
"1029","it","took","me"
"1030","it","was","all"
"1031","it","was","in"
"1032","lot","of","the"
"1033","of","the","first"
"1034","of","the","other"
"1035","of","the","thing"
"1036","on","one","of"
"1037","one","of","these"
"1038","or","ani","other"
"1039","out","for","a"
"1040","out","of","it"
"1041","out","of","your"
"1042","over","the","last"
"1043","part","of","my"
"1044","realli","need","to"
"1045","sit","in","the"
"1046","so","i","could"
"1047","thank","for","share"
"1048","that","he","would"
"1049","that","i","dont"
"1050","that","whi","i"
"1051","the","lack","of"
"1052","the","life","of"
"1053","the","most","import"
"1054","the","night","befor"
"1055","the","onli","way"
"1056","the","way","you"
"1057","the","world","to"
"1058","there","are","some"
"1059","there","have","been"
"1060","they","will","be"
"1061","this","is","whi"
"1062","this","will","be"
"1063","thought","i","would"
"1064","time","in","the"
"1065","to","all","my"
"1066","to","be","honest"
"1067","to","be","seen"
"1068","to","be","there"
"1069","to","catch","up"
"1070","to","go","for"
"1071","to","help","you"
"1072","to","keep","the"
"1073","to","see","my"
"1074","to","take","over"
"1075","to","use","the"
"1076","tri","not","to"
"1077","up","in","a"
"1078","want","to","hear"
"1079","want","to","say"
"1080","we","are","in"
"1081","what","did","you"
"1082","what","i","can"
"1083","what","is","it"
"1084","what","your","favorit"
"1085","when","i","get"
"1086","which","is","a"
"1087","will","be","abl"
"1088","you","are","in"
"1089","you","can","use"
"1090","you","had","a"
"1091","a","few","of"
"1092","a","few","thing"
"1093","a","good","job"
"1094","a","link","to"
"1095","a","wast","of"
"1096","a","whole","lot"
"1097","after","the","first"
"1098","again","and","again"
"1099","along","the","way"
"1100","and","a","few"
"1101","and","all","the"
"1102","and","i","feel"
"1103","and","i","thought"
"1104","and","i","would"
"1105","and","listen","to"
"1106","and","thank","for"
"1107","and","that","he"
"1108","and","then","the"
"1109","and","we","will"
"1110","as","i","have"
"1111","at","least","a"
"1112","at","least","i"
"1113","at","the","begin"
"1114","back","and","forth"
"1115","back","to","my"
"1116","be","the","one"
"1117","be","the","same"
"1118","bottom","of","the"
"1119","but","i","know"
"1120","but","there","is"
"1121","cinco","de","mayo"
"1122","come","from","a"
"1123","come","from","the"
"1124","do","you","like"
"1125","dont","even","know"
"1126","excit","to","see"
"1127","figur","out","how"
"1128","for","a","good"
"1129","for","a","long"
"1130","for","the","mention"
"1131","for","the","new"
"1132","for","the","past"
"1133","get","a","chanc"
"1134","get","rid","of"
"1135","go","to","make"
"1136","go","to","take"
"1137","had","to","do"
"1138","have","to","make"
"1139","have","to","take"
"1140","have","to","wait"
"1141","havent","been","on"
"1142","here","are","some"
"1143","how","can","you"
"1144","i","can","say"
"1145","i","dont","need"
"1146","i","feel","so"
"1147","i","had","been"
"1148","i","hate","you"
"1149","i","just","cant"
"1150","i","just","have"
"1151","i","miss","the"
"1152","i","see","you"
"1153","i","think","about"
"1154","i","use","a"
"1155","i","want","some"
"1156","i","was","not"
"1157","i","was","there"
"1158","if","you","don’t"
"1159","if","you","like"
"1160","in","a","long"
"1161","in","a","way"
"1162","in","for","the"
"1163","in","other","word"
"1164","in","the","studio"
"1165","interest","in","the"
"1166","is","gonna","be"
"1167","is","it","just"
"1168","is","just","a"
"1169","it","for","the"
"1170","it","gonna","be"
"1171","it","is","one"
"1172","it","must","be"
"1173","it","was","an"
"1174","just","a","littl"
"1175","keep","up","the"
"1176","let","you","know"
"1177","look","at","me"
"1178","look","like","the"
"1179","love","you","too"
"1180","made","it","to"
"1181","make","me","want"
"1182","may","not","be"
"1183","me","to","do"
"1184","me","to","get"
"1185","might","as","well"
"1186","minut","or","until"
"1187","most","of","my"
"1188","much","for","the"
"1189","need","to","make"
"1190","need","to","start"
"1191","needless","to","say"
"1192","of","a","new"
"1193","of","it","and"
"1194","of","my","friend"
"1195","of","one","of"
"1196","of","their","own"
"1197","oh","my","god"
"1198","on","the","left"
"1199","on","the","next"
"1200","on","the","th"
"1201","out","how","to"
"1202","out","of","bed"
"1203","over","the","past"
"1204","pick","it","up"
"1205","say","that","i"
"1206","should","have","been"
"1207","so","that","i"
"1208","some","sort","of"
"1209","take","a","look"
"1210","thank","to","the"
"1211","that","has","been"
"1212","that","he","is"
"1213","that","if","you"
"1214","that","is","not"
"1215","the","best","part"
"1216","the","death","of"
"1217","the","differ","between"
"1218","the","face","of"
"1219","the","hous","and"
"1220","the","import","of"
"1221","the","same","way"
"1222","the","start","of"
"1223","the","stori","is"
"1224","the","world","of"
"1225","they","are","not"
"1226","thing","in","the"
"1227","think","of","the"
"1228","this","one","is"
"1229","this","was","the"
"1230","those","of","you"
"1231","thought","i","was"
"1232","time","for","the"
"1233","time","to","go"
"1234","to","be","back"
"1235","to","do","and"
"1236","to","do","someth"
"1237","to","get","up"
"1238","to","give","it"
"1239","to","give","you"
"1240","to","go","out"
"1241","to","have","the"
"1242","to","hear","from"
"1243","to","know","the"
"1244","to","learn","more"
"1245","to","learn","to"
"1246","to","say","that"
"1247","to","start","the"
"1248","to","them","and"
"1249","to","write","a"
"1250","today","is","the"
"1251","told","me","that"
"1252","turn","into","a"
"1253","two","of","the"
"1254","way","to","start"
"1255","we","went","to"
"1256","what","it","is"
"1257","when","i","have"
"1258","when","they","were"
"1259","where","do","you"
"1260","whi","do","you"
"1261","whi","is","it"
"1262","while","i","was"
"1263","with","all","of"
"1264","work","on","it"
"1265","would","have","to"
"1266","year","ago","and"
"1267","you","are","the"
"1268","you","can","also"
"1269","you","can","be"
"1270","you","for","follow"
"1271","you","in","the"
"1272","you","know","it"
"1273","you","think","you"
"1274","you","veri","much"
"1275","a","great","deal"
"1276","a","week","and"
"1277","a","year","old"
"1278","all","i","can"
"1279","all","kind","of"
"1280","all","of","them"
"1281","and","all","of"
"1282","and","for","the"
"1283","and","go","to"
"1284","and","how","much"
"1285","and","i","know"
"1286","and","lot","of"
"1287","and","one","of"
"1288","ani","of","the"
"1289","appear","to","be"
"1290","are","a","few"
"1291","are","so","mani"
"1292","ask","for","a"
"1293","at","least","one"
"1294","attent","to","the"
"1295","been","tri","to"
"1296","but","i","would"
"1297","but","then","i"
"1298","but","there","are"
"1299","came","up","with"
"1300","can","get","a"
"1301","could","have","been"
"1302","coupl","of","day"
"1303","each","other","and"
"1304","even","if","you"
"1305","far","as","i"
"1306","feel","like","it"
"1307","for","a","minut"
"1308","for","me","and"
"1309","for","the","best"
"1310","for","the","weekend"
"1311","get","in","the"
"1312","get","me","wrong"
"1313","give","us","a"
"1314","go","to","a"
"1315","good","luck","to"
"1316","got","a","new"
"1317","great","way","to"
"1318","had","a","lot"
"1319","have","a","hard"
